#Date;Value 18:50 MSK
2021-12-10;73.472
2021-12-09;73.5831
2021-12-08;73.7115
2021-12-07;74.0764
2021-12-06;73.996
2021-12-03;73.8912
2021-12-02;73.578
2021-12-01;73.9284
2021-11-30;74.469
2021-11-29;74.5787
2021-11-26;75.5354
2021-11-25;74.6603
2021-11-24;74.944
2021-11-23;75.0484
2021-11-22;74.9345
2021-11-19;73.4031
2021-11-18;73.1944
2021-11-17;72.5115
2021-11-16;73.4281
2021-11-15;72.7158
2021-11-12;72.7696
2021-11-11;71.1649
2021-11-10;70.9103
2021-11-09;70.7593
2021-11-08;71.2342
2021-11-05;71.1619
2021-11-03;72.1717
2021-11-02;71.6147
2021-11-01;71.2304
2021-10-29;70.9036
2021-10-28;70.1899
2021-10-27;70.4495
2021-10-26;69.6341
2021-10-25;69.8285
2021-10-22;70.4015
2021-10-21;71.1375
2021-10-20;70.9093
2021-10-19;70.8993
2021-10-18;71.3175
2021-10-15;70.9768
2021-10-14;71.5213
2021-10-13;72.0673
2021-10-12;71.8306
2021-10-11;71.6229
2021-10-08;71.7405
2021-10-07;71.8408
2021-10-06;72.421
2021-10-05;72.311
2021-10-04;72.5518
2021-10-01;72.678
2021-09-30;72.7157
2021-09-29;72.7845
2021-09-28;72.9225
2021-09-27;72.4632
2021-09-24;72.7948
2021-09-23;72.8098
2021-09-22;72.6743
2021-09-21;73.1068
2021-09-20;73.5313
2021-09-17;72.8444
2021-09-16;72.5831
2021-09-15;72.4943
2021-09-14;72.8161
2021-09-13;72.7012
2021-09-10;73.0866
2021-09-09;72.873
2021-09-08;73.3009
2021-09-07;73.2805
2021-09-06;73.0557
2021-09-03;72.6936
2021-09-02;72.812
2021-09-01;72.9383
2021-08-31;73.3041
2021-08-30;73.459
2021-08-27;73.5835
2021-08-26;74.2194
2021-08-25;74.0448
2021-08-24;73.7598
2021-08-23;74.1383
2021-08-20;74.3694
2021-08-19;74.2275
2021-08-18;73.8124
2021-08-17;73.5093
2021-08-16;73.3
2021-08-13;73.2147
2021-08-12;73.5531
2021-08-11;73.7504
2021-08-10;73.8982
2021-08-09;73.6193
2021-08-06;73.4148
2021-08-05;73.0481
2021-08-04;73.1836
2021-08-03;72.9738
2021-08-02;72.9465
2021-07-30;73.0817
2021-07-29;73.1051
2021-07-28;73.7158
2021-07-27;73.7475
2021-07-26;73.7184
2021-07-23;73.7194
2021-07-22;73.9325
2021-07-21;73.9425
2021-07-20;74.4579
2021-07-19;74.6125
2021-07-16;74.0862
2021-07-15;74.2563
2021-07-14;74.268
2021-07-13;74.0733
2021-07-12;74.435
2021-07-09;74.28
2021-07-08;74.7292
2021-07-07;74.7546
2021-07-06;74.386
2021-07-05;73.4793
2021-07-02;73.3672
2021-07-01;73.3698
2021-06-30;73.1818
2021-06-29;72.8135
2021-06-28;72.1748
2021-06-25;72.1923
2021-06-24;72.343
2021-06-23;72.5469
2021-06-22;73.1599
2021-06-21;73.1445
2021-06-18;72.7512
2021-06-17;72.2845
2021-06-16;71.8531
2021-06-15;72.3072
2021-06-14;72.067
2021-06-11;72.0951
2021-06-10;71.8875
2021-06-09;72.2925
2021-06-08;72.4088
2021-06-07;72.8426
2021-06-04;72.8222
2021-06-03;73.2536
2021-06-02;73.1692
2021-06-01;73.4681
2021-05-31;73.3875
2021-05-28;73.2766
2021-05-27;73.4419
2021-05-26;73.4992
2021-05-25;73.475
2021-05-24;73.4466
2021-05-21;73.4691
2021-05-20;73.4877
2021-05-19;73.7345
2021-05-18;73.7963
2021-05-17;73.9066
2021-05-14;73.9815
2021-05-13;74.0725
2021-05-12;74.3618
2021-05-11;74.0984
2021-05-10;74.099
2021-05-07;73.5418
2021-05-06;74.32
2021-05-05;74.7425
2021-05-04;74.9977
2021-04-30;75.1797
2021-04-29;74.4651
2021-04-28;74.6946
2021-04-27;74.8192
2021-04-26;74.8709
2021-04-23;74.9536
2021-04-22;75.5235
2021-04-21;76.6318
2021-04-20;76.8905
2021-04-19;76.2513
2021-04-16;75.7216
2021-04-15;76.2221
2021-04-14;75.6243
2021-04-13;76.1642
2021-04-12;77.4678
2021-04-09;77.4577
2021-04-08;76.7159
2021-04-07;77.1373
2021-04-06;77.1378
2021-04-05;76.2069
2021-04-02;76.4241
2021-04-01;76.2508
2021-03-31;75.5338
2021-03-30;76.0466
2021-03-29;75.7298
2021-03-26;75.8265
2021-03-25;76.4526
2021-03-24;76.3964
2021-03-23;76.0791
2021-03-22;74.8923
2021-03-19;74.2706
2021-03-18;74.1646
2021-03-17;73.984
2021-03-16;72.8278
2021-03-15;73.1345
2021-03-12;73.3807
2021-03-11;73.4281
2021-03-10;73.7334
2021-03-09;73.9528
2021-03-05;74.304
2021-03-04;73.577
2021-03-03;74.0315
2021-03-02;73.9603
2021-03-01;73.9223
2021-02-26;74.6686
2021-02-25;74.0595
2021-02-24;73.7598
2021-02-22;74.3309
2021-02-20;74.0656
2021-02-19;73.981
2021-02-18;74.0395
2021-02-17;74.036
2021-02-16;73.6718
2021-02-15;73.3012
2021-02-12;73.845
2021-02-11;73.603
2021-02-10;73.9458
2021-02-09;74.0488
2021-02-08;74.2387
2021-02-05;74.6484
2021-02-04;75.7287
2021-02-03;75.9381
2021-02-02;75.6652
2021-02-01;76.0129
2021-01-29;75.484
2021-01-28;76.0347
2021-01-27;75.6135
2021-01-26;75.0668
2021-01-25;75.7978
2021-01-22;75.1395
2021-01-21;73.6567
2021-01-20;73.4492
2021-01-19;73.7571
2021-01-18;74.1581
2021-01-15;73.7393
2021-01-14;73.2849
2021-01-13;73.5289
2021-01-12;73.6482
2021-01-11;74.8048
2021-01-08;74.2138
2021-01-06;73.9155
2021-01-05;74.2024
2021-01-04;74.0773
2020-12-30;74.6769
2020-12-29;73.7651
2020-12-28;73.7895
2020-12-25;74.1945
2020-12-24;73.9798
2020-12-23;74.9568
2020-12-22;75.4428
2020-12-21;75.137
2020-12-18;73.5329
2020-12-17;72.865
2020-12-16;73.5765
2020-12-15;73.5893
2020-12-14;73.3374
2020-12-11;73.056
2020-12-10;73.073
2020-12-09;73.7169
2020-12-08;73.3988
2020-12-07;73.5295
2020-12-04;73.9106
2020-12-03;74.3841
2020-12-02;75.241
2020-12-01;75.6358
2020-11-30;76.3634
2020-11-27;76.0128
2020-11-26;75.6412
2020-11-25;75.8501
2020-11-24;75.7706
2020-11-23;76.3755
2020-11-20;76.1186
2020-11-19;76.2335
2020-11-18;76.0116
2020-11-17;76.4041
2020-11-16;76.4761
2020-11-13;77.6204
2020-11-12;76.9677
2020-11-11;76.9813
2020-11-10;76.6201
2020-11-09;76.1311
2020-11-06;77.4163
2020-11-05;76.9938
2020-11-03;79.2113
2020-11-02;80.6471
2020-10-30;79.4671
2020-10-29;79.0952
2020-10-28;78.6892
2020-10-27;76.935
2020-10-26;76.1519
2020-10-23;76.2267
2020-10-22;76.4392
2020-10-21;76.7631
2020-10-20;77.4114
2020-10-19;77.547
2020-10-16;77.8529
2020-10-15;78.382
2020-10-14;77.5428
2020-10-13;77.0918
2020-10-12;77.0997
2020-10-09;76.6786
2020-10-08;77.3784
2020-10-07;78.279
2020-10-06;77.9894
2020-10-05;78.411
2020-10-02;78.2685
2020-10-01;77.51
2020-09-30;77.674
2020-09-29;79.3265
2020-09-28;79.0261
2020-09-25;78.3535
2020-09-24;77.1736
2020-09-23;76.8317
2020-09-22;76.1678
2020-09-21;76.3705
2020-09-18;75.6835
2020-09-17;75.2973
2020-09-16;74.8643
2020-09-15;74.8955
2020-09-14;75.0933
2020-09-11;74.9662
2020-09-10;75.0288
2020-09-09;75.4181
2020-09-08;76.5073
2020-09-07;75.8081
2020-09-04;75.4379
2020-09-03;75.5078
2020-09-02;75.4251
2020-09-01;73.534
2020-08-31;74.2424
2020-08-28;74.1784
2020-08-27;75.016
2020-08-26;75.5111
2020-08-25;75.3037
2020-08-24;74.469
2020-08-21;74.7764
2020-08-20;74.094
2020-08-19;73.1488
2020-08-18;73.2768
2020-08-17;73.4761
2020-08-14;72.8655
2020-08-13;73.176
2020-08-12;73.6026
2020-08-11;73.0579
2020-08-10;73.5598
2020-08-07;73.6455
2020-08-06;73.4102
2020-08-05;72.7875
2020-08-04;73.5073
2020-08-03;73.4045
2020-07-31;74.3012
2020-07-30;73.6876
2020-07-29;72.6192
2020-07-28;72.5245
2020-07-27;71.7758
2020-07-24;71.8121
2020-07-23;71.2081
2020-07-22;71.1479
2020-07-21;70.6633
2020-07-20;71.4298
2020-07-17;71.8745
2020-07-16;71.2713
2020-07-15;70.9983
2020-07-14;71.0548
2020-07-13;70.6032
2020-07-10;70.8353
2020-07-09;71.0074
2020-07-08;71.218
2020-07-07;71.324
2020-07-06;71.6151
2020-07-03;71.4536
2020-07-02;70.3794
2020-06-30;71.2637
2020-06-29;70.3303
2020-06-26;69.7828
2020-06-25;69.1783
2020-06-23;68.6504
2020-06-22;69.2648
2020-06-19;69.5418
2020-06-18;69.734
2020-06-17;69.7287
2020-06-16;69.6679
2020-06-15;70.1183
2020-06-11;69.8125
2020-06-10;68.6758
2020-06-09;68.5792
2020-06-08;68.355
2020-06-05;68.4234
2020-06-04;69.3092
2020-06-03;68.5047
2020-06-02;68.9409
2020-06-01;69.4435
2020-05-29;70.6311
2020-05-28;70.5247
2020-05-27;71.2328
2020-05-26;70.8238
2020-05-25;71.6008
2020-05-22;71.816
2020-05-21;70.9987
2020-05-20;71.2263
2020-05-19;72.5639
2020-05-18;72.6745
2020-05-15;73.7829
2020-05-14;73.982
2020-05-13;73.9056
2020-05-12;73.1836
2020-05-08;73.2302
2020-05-07;73.6601
2020-05-06;74.6038
2020-05-05;73.7686
2020-05-04;75.2048
2020-04-30;74.2186
2020-04-29;73.2933
2020-04-28;74.1628
2020-04-27;74.7357
2020-04-24;74.6398
2020-04-23;74.4653
2020-04-22;76.0479
2020-04-21;77.4375
2020-04-20;74.4846
2020-04-17;74.0317
2020-04-16;74.2604
2020-04-15;75.1972
2020-04-14;73.1614
2020-04-13;73.6147
2020-04-10;73.8648
2020-04-09;73.6583
2020-04-08;75.4658
2020-04-07;75.4707
2020-04-06;76.2555
2020-04-03;77.181
